order_id,user_id,age_group,city,province,region,product_id,product_name,category,brand,supplier,price,cost,quantity,discount,coupon_amount,payment_method,sales_channel,traffic_source,campaign_name,device_type,store_id,store_type,order_date,order_hour,is_returned,return_reason,delivery_days,customer_rating,user_gender,user_age,user_level,ab_group,shipping_fee,marketing_cost,sales_amount,refund_amount,net_sales_amount,product_cost,gross_profit,reverse_logistics_cost,net_profit,gross_margin,net_margin,is_weekend,month
AI00000001,U01163,41-50,上海,上海,华东,P025,面膜,美妆个护,FreshMe,广州美妆供应链,57.04,34.07,1,0.99,0.0,微信支付,网页商城,老客复购,日常,iOS,S022,仓储店,2025-09-10,20,1,质量问题,4,3.0,女,42,普通会员,B,12.0,17.73,56.47,56.47,0.0,34.07,-34.07,8.0,-71.8,,,0,2025-09
AI00000002,U00444,41-50,深圳,广东,华南,P024,文件夹,图书文具,OfficeKit,大连办公用品,10.4,5.17,2,0.9,0.0,信用卡,第三方平台,自然搜索,日常,iOS,S003,校园店,2025-03-18,19,0,未退货,2,5.0,男,42,普通会员,A,0.0,33.84,18.72,0.0,18.72,10.34,8.38,0.0,-25.46,0.4476495726495727,-1.360042735042735,0,2025-03
AI00000003,U01388,31-40,沈阳,辽宁,东北,P024,文件夹,图书文具,OfficeKit,大连办公用品,6.71,3.64,2,0.81,0.0,银行卡,手机APP,校园社群,双十一,iOS,S010,仓储店,2025-11-09,10,0,未退货,3,4.0,女,34,普通会员,A,0.0,40.58,10.87,0.0,10.87,7.28,3.59,0.0,-36.99,0.33026678932842685,-3.4029438822447107,1,2025-11
AI00000004,U00974,41-50,沈阳,辽宁,东北,P013,运动鞋,服饰运动,RunFast,福建运动工厂,332.84,201.24,1,0.99,0.0,微信支付,手机APP,老客复购,日常,Android,S015,校园店,2025-04-11,13,0,未退货,2,5.0,女,48,新客,A,10.0,26.06,329.51,0.0,329.51,201.24,128.27,0.0,92.21,0.3892749840672514,0.27983976207095385,0,2025-04
AI00000005,U00035,41-50,天津,天津,华北,P006,显示器,电脑办公,ViewStar,青岛海新显示,1208.3,741.7,1,0.86,20.0,校园卡,手机APP,短视频,日常,iOS,S020,仓储店,2025-02-09,14,0,未退货,4,5.0,男,41,金卡会员,B,6.0,30.39,1019.14,0.0,1019.14,741.7,277.44,0.0,241.05,0.2722295268559766,0.23652295072315876,1,2025-02
AI00000006,U01726,23-30,成都,四川,西南,P020,能量饮料,食品饮料,PowerUp,广州饮品公司,16.9,7.41,3,1.0,10.0,微信支付,网页商城,信息流广告,日常,iOS,S003,校园店,2025-10-08,23,0,未退货,2,4.0,女,23,金卡会员,A,8.0,25.73,40.7,0.0,40.7,22.23,18.47,0.0,-15.26,0.45380835380835377,-0.3749385749385749,0,2025-10
AI00000007,U01130,41-50,大连,辽宁,东北,P018,咖啡,食品饮料,BeanGo,云南咖啡供应链,36.51,21.17,1,0.9,10.0,信用卡,线下门店,线下到店,日常,门店收银,S015,旗舰店,2025-12-31,15,0,未退货,0,5.0,男,42,学生会员,A,0.0,13.57,22.86,0.0,22.86,21.17,1.69,0.0,-11.88,0.07392825896762904,-0.5196850393700788,0,2025-12
AI00000008,U01194,41-50,沈阳,辽宁,东北,P010,双肩包,生活用品,CampusBag,广州行者箱包,109.88,72.37,1,0.97,20.0,校园卡,手机APP,校园社群,日常,PC,S030,校园店,2026-05-08,19,0,未退货,2,4.0,男,46,普通会员,A,12.0,26.9,86.58,0.0,86.58,72.37,14.21,0.0,-24.69,0.16412566412566415,-0.2851697851697852,0,2026-05
AI00000009,U00058,31-40,成都,四川,西南,P008,打印机,电脑办公,PrintOne,南京云印科技,663.93,323.86,1,1.0,0.0,支付宝,线下门店,线下到店,日常,门店收银,S032,商场店,2026-03-23,14,0,未退货,0,4.0,女,33,普通会员,A,0.0,10.91,663.93,0.0,663.93,323.86,340.07,0.0,329.16,0.5122076122482793,0.49577515701956537,0,2026-03
AI00000010,U00464,41-50,成都,四川,西南,P008,打印机,电脑办公,PrintOne,南京云印科技,947.81,548.74,1,1.0,0.0,支付宝,线下门店,线下到店,日常,门店收银,S032,商场店,2026-05-10,20,0,未退货,0,5.0,男,49,金卡会员,A,0.0,9.0,947.81,0.0,947.81,548.74,399.07,0.0,390.07,0.42104430212806365,0.4115487281206149,1,2026-05
AI00000011,U00334,31-40,沈阳,辽宁,东北,P009,保温杯,生活用品,WarmCup,大连优品贸易,33.07,18.36,2,0.89,0.0,银行卡,直播间,直播推荐,日常,Android,S037,社区店,2026-03-08,21,0,未退货,2,4.0,男,32,新客,A,6.0,72.23,58.86,0.0,58.86,36.72,22.14,0.0,-56.09,0.3761467889908257,-0.95293917770982,1,2026-03
AI00000012,U01581,41-50,广州,广东,华南,P027,电动牙刷,美妆个护,SmileTech,深圳个护科技,168.12,112.3,2,0.95,0.0,银行卡,手机APP,校园社群,日常,PC,S010,旗舰店,2026-01-31,19,0,未退货,1,5.0,男,41,新客,B,6.0,40.98,319.43,0.0,319.43,224.6,94.83,0.0,47.85,0.2968725542372351,0.14979807782612778,1,2026-01
AI00000013,U00850,41-50,深圳,广东,华南,P004,移动硬盘,数码配件,DataBox,上海存储工贸,565.77,312.79,1,1.0,0.0,微信支付,第三方平台,短视频,日常,Android,S010,社区店,2025-01-07,21,0,未退货,3,4.0,女,42,普通会员,A,10.0,45.38,565.77,0.0,565.77,312.79,252.98,0.0,197.6,0.4471428318928186,0.34925853261926226,0,2025-01
AI00000014,U01290,31-40,杭州,浙江,华东,P001,无线鼠标,数码配件,LogiMax,大连智采供应链,78.7,54.64,3,0.92,10.0,微信支付,第三方平台,自然搜索,日常,PC,S034,校园店,2025-12-12,19,1,商品与描述不符,2,3.0,女,37,金卡会员,A,10.0,25.18,207.21,207.21,0.0,163.92,-163.92,8.0,-207.1,,,0,2025-12
AI00000015,U00452,31-40,天津,天津,华北,P022,笔记本,图书文具,NotePlus,义乌文具厂,13.34,8.17,2,0.94,10.0,信用卡,手机APP,老客复购,日常,PC,S005,社区店,2025-03-19,17,0,未退货,2,5.0,女,37,普通会员,A,8.0,26.9,15.08,0.0,15.08,16.34,-1.26,0.0,-36.16,-0.08355437665782493,-2.3978779840848805,0,2025-03
AI00000016,U00147,31-40,青岛,山东,华东,P002,机械键盘,数码配件,KeyPro,沈阳北方电子,150.54,88.4,1,0.94,0.0,银行卡,手机APP,短视频,日常,Android,S012,商场店,2025-02-07,21,0,未退货,2,5.0,男,39,学生会员,B,8.0,25.76,141.51,0.0,141.51,88.4,53.11,0.0,19.35,0.375309165430005,0.13673945304218785,0,2025-02
AI00000017,U00660,31-40,沈阳,辽宁,东北,P007,办公椅,电脑办公,WorkLife,杭州森木家具,607.99,311.13,3,0.99,0.0,银行卡,直播间,直播推荐,日常,Android,S016,社区店,2025-04-11,8,0,未退货,2,5.0,男,37,新客,A,8.0,48.06,1805.73,0.0,1805.73,933.39,872.34,0.0,816.28,0.4830954793906066,0.452049863490112,0,2025-04
AI00000018,U00019,31-40,沈阳,辽宁,东北,P009,保温杯,生活用品,WarmCup,大连优品贸易,34.39,20.53,2,0.88,10.0,银行卡,直播间,直播推荐,日常,Android,S037,社区店,2026-04-18,22,0,未退货,2,4.0,女,36,学生会员,B,0.0,91.13,50.53,0.0,50.53,41.06,9.47,0.0,-81.66,0.18741341777162082,-1.616069661587176,1,2026-04
