antecedent_code,antecedent,consequent_code,consequent,pair_orders,support,confidence,lift
10002,INFLATABLE POLITICAL GLOBE,22139,RETRO SPOT TEA SET CERAMIC 11 PC,41,0.0012235153685467024,0.14642857142857144,2.821633943974369
10002,INFLATABLE POLITICAL GLOBE,20725,LUNCH BAG RED SPOTTY,41,0.0012235153685467024,0.14642857142857144,1.9881772401018751
10002,INFLATABLE POLITICAL GLOBE,POST,POSTAGE,40,0.001193673530289466,0.14285714285714285,2.8376661868066733
10002,INFLATABLE POLITICAL GLOBE,21790,VINTAGE SNAP CARDS,35,0.0010444643390032826,0.125,3.0069992821249105
10002,INFLATABLE POLITICAL GLOBE,22383,LUNCHBAG SUKI  DESIGN,34,0.001014622500746046,0.12142857142857143,2.1484009654548197
10120,DOGGY RUBBER,16237,SLEEPING CAT ERASERS,36,0.0010743061772605193,0.6545454545454545,70.52674656533179
10133,COLOURING PENCILS BROWN TUBE,10135,COLOURING PENCILS BROWN TUBE,37,0.0011041480155177558,0.19473684210526315,28.62119113573407
10133,COLOURING PENCILS BROWN TUBE,20984,12 PENCILS TALL TUBE POSY,36,0.0010743061772605193,0.18947368421052632,29.949354518371404
10133,COLOURING PENCILS BROWN TUBE,21892,TRADITIONAL WOODEN CATCH CUP GAME,23,0.0006863622799164428,0.12105263157894737,7.348684210526315
10133,COLOURING PENCILS BROWN TUBE,21790,VINTAGE SNAP CARDS,23,0.0006863622799164428,0.12105263157894737,2.9120414100578076
10133,COLOURING PENCILS BROWN TUBE,21212,PACK OF 72 RETRO SPOT CAKE CASES,23,0.0006863622799164428,0.12105263157894737,1.7217630238584574
10135,COLOURING PENCILS BROWN TUBE,10133,COLOURING PENCILS BROWN TUBE,37,0.0011041480155177558,0.16228070175438597,28.62119113573407
10135,COLOURING PENCILS BROWN TUBE,21790,VINTAGE SNAP CARDS,37,0.0011041480155177558,0.16228070175438597,3.9038236294253217
10135,COLOURING PENCILS BROWN TUBE,21034,REX CASH+CARRY JUMBO SHOPPER,30,0.0008952551477170994,0.13157894736842105,2.510939935259561
10135,COLOURING PENCILS BROWN TUBE,21212,PACK OF 72 RETRO SPOT CAKE CASES,29,0.0008654133094598628,0.12719298245614036,1.8090988294164954
10135,COLOURING PENCILS BROWN TUBE,21485,RED SPOT HEART HOT WATER BOTTLE,27,0.0008057296329453894,0.11842105263157894,3.429809398171314
11001,ASSTD DESIGN RACING CAR PEN,21731,RED TOADSTOOL LED NIGHT LIGHT,24,0.0007162041181736795,0.15584415584415584,5.2911222516085745
11001,ASSTD DESIGN RACING CAR PEN,20972,PINK CREAM FELT CRAFT TRINKET BOX,23,0.0006863622799164428,0.14935064935064934,4.355735648163846
11001,ASSTD DESIGN RACING CAR PEN,22418,10 COLOUR SPACEBOY PEN,21,0.0006266786034019695,0.13636363636363635,10.626849894291755
11001,ASSTD DESIGN RACING CAR PEN,22138,BAKING SET 9 PIECE RETROSPOT,21,0.0006266786034019695,0.13636363636363635,2.776151551971722
11001,ASSTD DESIGN RACING CAR PEN,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,20,0.000596836765144733,0.12987012987012986,5.048663633350408
15034,PAPER POCKET TRAVELING FAN,15036,ASSORTED COLOURS SILK FAN,50,0.0014920919128618322,0.3105590062111801,17.34472049689441
15034,PAPER POCKET TRAVELING FAN,17003,BROCADE RING PURSE,23,0.0006863622799164428,0.14285714285714285,13.224151539068664
15034,PAPER POCKET TRAVELING FAN,21034,REX CASH+CARRY JUMBO SHOPPER,23,0.0006863622799164428,0.14285714285714285,2.7261633582818092
15034,PAPER POCKET TRAVELING FAN,84692,BOX OF 24 COCKTAIL PARASOLS,20,0.000596836765144733,0.12422360248447205,6.4338994115218835
15034,PAPER POCKET TRAVELING FAN,47566,PARTY BUNTING,20,0.000596836765144733,0.12422360248447205,2.0897253610716158
15036,ASSORTED COLOURS SILK FAN,22423,REGENCY CAKESTAND 3 TIER,77,0.0022978215458072217,0.12833333333333333,1.3561810154525387
15036,ASSORTED COLOURS SILK FAN,47566,PARTY BUNTING,69,0.0020590868397493286,0.115,1.9345632530120482
15036,ASSORTED COLOURS SILK FAN,20725,LUNCH BAG RED SPOTTY,67,0.001999403163234855,0.11166666666666666,1.5161871961102107
15036,ASSORTED COLOURS SILK FAN,22382,LUNCHBAG SPACEBOY DESIGN,54,0.0016114592658907788,0.09,1.6671641791044776
15036,ASSORTED COLOURS SILK FAN,15044D,RED PAPER PARASOL,53,0.0015816174276335423,0.08833333333333333,17.011781609195403
15039,SANDALWOOD FAN,15036,ASSORTED COLOURS SILK FAN,44,0.0013130408833184125,0.26993865030674846,15.076073619631902
15039,SANDALWOOD FAN,84879,ASSORTED COLOUR BIRD ORNAMENT,21,0.0006266786034019695,0.12883435582822086,1.6818228530594783
15044A,PINK PAPER PARASOL,15044D,RED PAPER PARASOL,88,0.002626081766636825,0.49162011173184356,94.6792525524947
15044A,PINK PAPER PARASOL,15044B,BLUE PAPER PARASOL,87,0.0025962399283795882,0.4860335195530726,121.54465104644378
15044A,PINK PAPER PARASOL,15044C,PURPLE PAPER PARASOL,82,0.0024470307370934048,0.4581005586592179,107.34929874594678
15044A,PINK PAPER PARASOL,15036,ASSORTED COLOURS SILK FAN,48,0.001432408236347359,0.2681564245810056,14.976536312849163
15044A,PINK PAPER PARASOL,22423,REGENCY CAKESTAND 3 TIER,30,0.0008952551477170994,0.16759776536312848,1.7711135658525496
15044B,BLUE PAPER PARASOL,15044A,PINK PAPER PARASOL,87,0.0025962399283795882,0.6492537313432836,121.54465104644378
15044B,BLUE PAPER PARASOL,15044D,RED PAPER PARASOL,83,0.0024768725753506414,0.6194029850746269,119.28847143592382
15044B,BLUE PAPER PARASOL,15044C,PURPLE PAPER PARASOL,68,0.002029245001492092,0.5074626865671642,118.91660578227743
15044B,BLUE PAPER PARASOL,15036,ASSORTED COLOURS SILK FAN,41,0.0012235153685467024,0.30597014925373134,17.088432835820896
15044B,BLUE PAPER PARASOL,22423,REGENCY CAKESTAND 3 TIER,23,0.0006863622799164428,0.17164179104477612,1.8138493907002358
15044C,PURPLE PAPER PARASOL,15044A,PINK PAPER PARASOL,82,0.0024470307370934048,0.5734265734265734,107.34929874594678
15044C,PURPLE PAPER PARASOL,15044D,RED PAPER PARASOL,77,0.0022978215458072217,0.5384615384615384,103.70026525198939
15044C,PURPLE PAPER PARASOL,15044B,BLUE PAPER PARASOL,68,0.002029245001492092,0.4755244755244755,118.91660578227743
15044C,PURPLE PAPER PARASOL,15036,ASSORTED COLOURS SILK FAN,33,0.0009847806624888092,0.23076923076923078,12.888461538461538
