特征,重要性,方向值
cat__category_服饰运动,0.9842352113285238,0.9842352113285238
cat__category_美妆个护,0.6469704469187008,0.6469704469187008
cat__campaign_name_日常,0.5426265764385125,-0.5426265764385125
cat__sales_channel_直播间,0.5194403823870227,0.5194403823870227
cat__category_食品饮料,0.5089633851447378,-0.5089633851447378
cat__sales_channel_网页商城,0.46595428913720677,-0.46595428913720677
cat__category_图书文具,0.4418239916041924,-0.4418239916041924
cat__category_生活用品,0.3980421189214689,-0.3980421189214689
cat__campaign_name_618大促,0.3461970130318395,0.3461970130318395
cat__traffic_source_直播推荐,0.3333161377923623,0.3333161377923623
cat__user_level_金卡会员,0.3049255136133537,-0.3049255136133537
cat__sales_channel_第三方平台,0.3003753548570038,0.3003753548570038
cat__sales_channel_手机APP,0.29966573605083957,-0.29966573605083957
cat__category_电脑办公,0.2883244074685661,-0.2883244074685661
num__discount,0.28181341808462546,-0.28181341808462546
cat__campaign_name_双十一,0.2494054942809235,0.2494054942809235
cat__user_level_新客,0.2056118500143924,0.2056118500143924
cat__region_华南,0.19626489064272418,-0.19626489064272418
cat__region_华中,0.17763648336277676,0.17763648336277676
num__shipping_fee,0.16246578567836956,0.16246578567836956
cat__user_level_普通会员,0.13116353824072022,0.13116353824072022
num__quantity,0.1295580733221943,0.1295580733221943
cat__user_level_学生会员,0.12401952820474439,0.12401952820474439
cat__region_华北,0.12360612022806863,0.12360612022806863
cat__traffic_source_自然搜索,0.10357924800614068,-0.10357924800614068
