StockCode,Description,quantity,revenue,orders,customers,revenue_share,cumulative_share,abc_class
22423,REGENCY CAKESTAND 3 TIER,24124,277656.25,3317,1314,0.015980395848911668,0.015980395848911668,A
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,247048.01,4888,1490,0.014218750679971687,0.030199146528883357,A
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,1,0.009696201315503647,0.039895347844387,A
M,Manual,9384,151777.67,620,438,0.008735503874396797,0.0486308517187838,A
85099B,JUMBO BAG RED RETROSPOT,74224,134307.44,2612,860,0.00773001168406601,0.056360863402849806,A
POST,POSTAGE,5235,124648.04,1803,405,0.007174068730637166,0.06353493213348697,A
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,124351.86,2652,1010,0.007157022207670258,0.07069195434115723,A
47566,PARTY BUNTING,23460,103283.38,2077,894,0.005944434159193487,0.07663638850035072,A
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195,138,0.00468590775148754,0.08132229625183826,A
22086,PAPER CHAIN KIT 50'S CHRISTMAS,28380,76598.18000000001,1691,896,0.004408578008621052,0.0857308742604593,A
79321,CHILLI LIGHTS,14843,69084.3,922,304,0.003976119611732019,0.08970699387219133,A
85099F,JUMBO BAG STRAWBERRY,35842,64127.77,1514,549,0.0036908484844406066,0.09339784235663194,A
21137,BLACK RECORD COVER FRAME,18417,63092.12,539,198,0.0036312420575695197,0.09702908441420147,A
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,28606,55880.17,525,300,0.0032161611226272716,0.10024524553682873,A
82484,WOOD BLACK BOARD ANT WHITE FINISH,9678,54525.36,1048,451,0.003138185567961875,0.1033834311047906,A
21621,VINTAGE UNION JACK BUNTING,6497,54432.62,1121,583,0.0031328479538760114,0.10651627905866662,A
15056N,EDWARDIAN PARASOL NATURAL,10948,54332.61,863,347,0.003127091917810374,0.10964337097647699,A
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28899,52188.18,1449,506,0.0030036700957902264,0.11264704107226721,A
23084,RABBIT NIGHT LIGHT,27153,51251.24,801,450,0.0029497448839980217,0.11559678595626523,A
22470,HEART OF WICKER LARGE,17104,49859.5,1743,827,0.0028696438377627423,0.11846642979402797,A
21733,RED HANGING HEART T-LIGHT HOLDER,17228,48850.6,1631,744,0.0028115769965806436,0.12127800679060861,A
21931,JUMBO STORAGE BAG SUKI,25970,47760.99,1714,546,0.002748864923213188,0.1240268717138218,A
22189,CREAM HEART CARD HOLDER,15946,47414.200000000004,1129,536,0.0027289055616773177,0.1267557772754991,A
15056BL,EDWARDIAN PARASOL BLACK,9351,45885.07,788,321,0.002640897088234179,0.12939667436373328,A
22178,VICTORIAN GLASS HANGING T-LIGHT,37285,45746.75,1442,593,0.0026329361352434885,0.13202961049897677,A
22112,CHOCOLATE HOT WATER BOTTLE,9904,45601.340000000004,1447,631,0.0026245671201019596,0.13465417761907872,A
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24295,45059.13,1680,658,0.0025933604376187146,0.13724753805669743,A
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,16469,44998.270000000004,1233,701,0.002589857664346495,0.13983739572104392,A
21623,VINTAGE UNION JACK MEMOBOARD,6125,44785.83,499,311,0.0025776307640186878,0.1424150264850626,A
21181,PLEASE ONE PERSON METAL SIGN,22379,44310.600000000006,1399,562,0.0025502790889914617,0.14496530557405407,A
22386,JUMBO BAG PINK POLKADOT,23572,43319.16,1055,432,0.002493217151216083,0.14745852272527016,A
22469,HEART OF WICKER SMALL,26193,43316.53999999999,1779,886,0.002493066358150469,0.14995158908342063,A
21929,JUMBO BAG PINK VINTAGE PAISLEY,24108,43313.9,1228,504,0.0024929144139927526,0.15244450349741337,A
22138,BAKING SET 9 PIECE RETROSPOT,9035,43070.91,1742,1137,0.002478929220476212,0.15492343271788958,A
21843,RED RETROSPOT CAKE STAND,4298,42862.74,984,502,0.0024669480783125904,0.15739038079620218,A
22111,SCOTTIE DOG HOT WATER BOTTLE,9092,42463.200000000004,1457,717,0.002443952711352639,0.15983433350755483,A
21754,HOME BUILDING BLOCK WORD,7231,42453.11,1831,682,0.002443371985386212,0.16227770549294104,A
21731,RED TOADSTOOL LED NIGHT LIGHT,27102,41824.259999999995,1043,415,0.0024071787719087984,0.16468488426484984,A
21175,GIN + TONIC DIET METAL SIGN,19755,40940.78,1385,543,0.0023563304293103644,0.1670412146941602,A
22457,NATURAL SLATE HEART CHALKBOARD,14187,40276.170000000006,1637,874,0.0023180790631511473,0.16935929375731135,A
22326,ROUND SNACK BOXES SET OF4 WOODLAND,14630,40219.82,1144,439,0.002314835861148361,0.1716741296184597,A
48138,DOORMAT UNION FLAG,6146,40053.72,874,467,0.0023052760412253293,0.17397940565968503,A
82494L,WOODEN FRAME ANTIQUE WHITE,14368,39909.170000000006,1773,631,0.0022969565230442687,0.1762763621827293,A
20727,LUNCH BAG  BLACK SKULL.,25392,39904.0,1997,705,0.0022966589657354057,0.1785730211484647,A
21915,RED  HARMONICA IN BOX,35229,39870.65,884,467,0.002294739519652124,0.18086776066811683,A
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,13874,39822.34,644,298,0.002291959056675112,0.18315971972479195,A
21232,STRAWBERRY CERAMIC TRINKET BOX,33899,39682.67,1818,683,0.002283920404967407,0.18544364012975936,A
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2,1,0.002280284680557185,0.18772392481031655,A
21166,COOK WITH WINE METAL SIGN,19652,37029.340000000004,1225,475,0.002131209044363089,0.18985513385467964,A
82482,WOODEN PICTURE FRAME WHITE FINISH,15643,37011.1,1658,601,0.002130159248364316,0.19198529310304396,A
20728,LUNCH BAG CARS BLUE,23304,36644.28,1797,702,0.0021090470680863727,0.19409434017113034,A
84078A,SET/4 WHITE RETRO STORAGE CUBES,1007,36259.65,234,151,0.002086909840289891,0.19618125001142023,A
22629,SPACEBOY LUNCH BOX,20271,36150.99,1108,456,0.002080655956889309,0.19826190596830953,A
23284,DOORMAT KEEP CALM AND COME IN,5338,35880.85,648,378,0.0020651081558417006,0.20032701412415124,A
23298,SPOTTY BUNTING,7633,35509.55,1003,571,0.00204373813093248,0.20237075225508372,A
85066,CREAM SWEETHEART MINI CHEST,2948,35264.729999999996,809,471,0.0020296476124884305,0.20440039986757214,A
20713,JUMBO BAG OWLS,19463,35162.42,920,371,0.0020237592008308424,0.20642415906840297,A
48194,DOORMAT HEARTS,5788,35069.4,857,448,0.0020184054714555244,0.2084425645398585,A
22114,HOT WATER BOTTLE TEA AND SYMPATHY,8848,34479.62,1298,626,0.001984460916403113,0.2104270254562616,A
22960,JAM MAKING SET WITH JARS,8454,33833.72,903,583,0.00194728639690711,0.2123743118531687,A
22328,ROUND SNACK BOXES SET OF 4 FRUITS,12356,33670.24,985,400,0.0019378773700496914,0.2143121892232184,A
22720,SET OF 3 CAKE TINS PANTRY DESIGN,7010,33298.3,1146,640,0.0019164705101931453,0.21622865973341154,A
20726,LUNCH BAG WOODLAND,20916,33004.76,1585,585,0.0018995759313839538,0.2181282356647955,A
22197,SMALL POPCORN HOLDER,42955,32505.93,1039,426,0.0018708659676741053,0.2199991016324696,A
22699,ROSES REGENCY TEACUP AND SAUCER,11939,32470.65,1056,521,0.0018688354412027955,0.2218679370736724,A
20725,LUNCH BAG RED RETROSPOT,20294,32137.5,1520,605,0.0018496611244817965,0.22371759819815418,A
84029E,RED WOOLLY HOTTIE WHITE HEART.,9259,31876.47,956,500,0.0018346376458875224,0.2255522358440417,A
20685,DOORMAT RED RETROSPOT,4806,31864.2,758,416,0.0018339314508817692,0.22738616729492345,A
21755,LOVE BUILDING BLOCK WORD,5367,31590.410000000003,1485,661,0.001818173575525196,0.22920434087044864,A
48187,DOORMAT NEW ENGLAND,5146,31461.34,728,389,0.001810745002632567,0.2310150858730812,A
22630,DOLLY GIRL LUNCH BOX,17340,30921.64,998,423,0.0017796827822083637,0.23279476865528956,A
22727,ALARM CLOCK BAKELIKE RED,8512,30703.09,1144,473,0.0017671042232428097,0.23456187287853236,A
85152,HAND OVER THE CHOCOLATE   SIGN,16146,30615.93,1300,486,0.001762087763853939,0.2363239606423863,A
82486,WOOD S/3 CABINET ANT WHITE FINISH,3913,30363.75,1002,320,0.0017475736435156482,0.23807153428590197,A
22382,LUNCH BAG SPACEBOY DESIGN,18834,30131.7,1874,774,0.00173421809737995,0.23980575238328192,A
22385,JUMBO BAG SPACEBOY DESIGN,16383,29810.15,971,412,0.001715711414079223,0.24152146379736114,A
21523,DOORMAT FANCY FONT HOME SWEET HOME,4825,29691.95,572,271,0.0017089084597450728,0.24323037225710623,A
48185,DOORMAT FAIRY CAKE,4760,29116.96,420,219,0.0016758151373035077,0.24490618739440972,A
20712,JUMBO BAG WOODLAND ANIMALS,15709,29105.5,915,387,0.0016751555615279635,0.2465813429559377,A
15036,ASSORTED COLOURS SILK FAN,40994,28766.32,634,303,0.0016556341905376332,0.24823697714647533,A
47590B,PINK HAPPY BIRTHDAY BUNTING,5652,28581.4,810,428,0.0016449911929448157,0.24988196833942014,A
20679,EDWARDIAN PARASOL RED,6029,28557.920000000002,622,271,0.001643639810814817,0.25152560815023495,A
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10526,28513.3,787,357,0.0016410717243309778,0.2531666798745659,A
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4774,27952.22,1053,361,0.0016087789864476876,0.2547754588610136,A
22379,RECYCLING BAG RETROSPOT,14259,27893.78,1013,423,0.0016054154953200417,0.25638087435633367,A
22139,RETROSPOT TEA SET CERAMIC 11 PC,5745,27595.33,1145,652,0.0015882383233993388,0.257969112679733,A
22865,HAND WARMER OWL DESIGN,13675,27514.63,1058,566,0.0015835936667600334,0.259552706346493,A
22188,BLACK HEART CARD HOLDER,10255,27324.45,487,292,0.0015726479319438855,0.2611253542784369,A
22622,BOX OF VINTAGE ALPHABET BLOCKS,2833,27251.26,511,346,0.0015684355103896008,0.2626937897888265,A
20725,LUNCH BAG RED SPOTTY,17456,27237.6,1059,499,0.0015676493144826254,0.2642614391033091,A
22666,RECIPE BOX PANTRY YELLOW DESIGN,9600,27222.52,1277,701,0.001566781391036272,0.2658282204943454,A
22077,6 RIBBONS RUSTIC CHARM,16026,27031.039999999997,1361,685,0.0015557608352333694,0.26738398132957875,A
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15358,26847.1,721,333,0.001545174241153644,0.2689291555707324,A
22659,LUNCH BOX I LOVE LONDON,15156,26596.719999999998,763,293,0.0015307637191047056,0.2704599192898371,A
23245,SET OF 3 REGENCY CAKE TINS,5844,26566.280000000002,718,472,0.0015290117569225442,0.27198893104675964,A
23199,JUMBO BAG APPLES,13875,26426.3,718,344,0.0015209552632872282,0.27350988631004686,A
21977,PACK OF 60 PINK PAISLEY CAKE CASES,54592,26407.350000000002,1578,767,0.0015198646035187668,0.27502975091356563,A
22467,GUMBALL COAT RACK,11460,26149.13,928,398,0.001505002853365093,0.2765347537669307,A
22492,MINI PAINT SET VINTAGE,41507,25900.190000000002,618,356,0.0014906752099476369,0.2780254289768783,A
72741,GRAND CHOCOLATECANDLE,19284,25895.399999999998,823,510,0.0014903995233887485,0.27951582850026707,A
84991,60 TEATIME FAIRY CAKE CASES,52828,25785.920000000002,1765,822,0.0014840984452119065,0.280999926945479,A
22752,SET 7 BABUSHKA NESTING BOXES,3273,25620.99,577,323,0.0014746059641769541,0.28247453290965596,A
22726,ALARM CLOCK BAKELIKE GREEN,6713,24898.96,1041,404,0.0014330498125873906,0.28390758272224337,A
22386,JUMBO BAG PINK WITH WHITE SPOTS,13766,24450.6,712,358,0.001407244629801777,0.28531482735204516,A
85099B,JUMBO BAG RED WHITE SPOTTY,13879,24323.85,465,321,0.0013999495835932024,0.28671477693563835,A
23355,HOT WATER BOTTLE KEEP CALM,5313,24302.550000000003,719,474,0.0013987236705025308,0.2881135006061409,A
47566B,TEA TIME PARTY BUNTING,5612,24255.3,655,350,0.0013960042154070266,0.2895095048215479,A
22149,FELTCRAFT 6 FLOWER FRIENDS,12174,24248.29,1189,684,0.0013956007576246036,0.29090510557917254,A
48138,DOOR MAT UNION FLAG,3733,24216.23,637,389,0.0013937555569820245,0.29229886113615455,A
23201,JUMBO BAG ALPHABET,12533,24160.44,752,396,0.0013905445855581476,0.2936894057217127,A
22624,IVORY KITCHEN SCALES,2916,24137.48,1065,579,0.0013892231318228508,0.29507862885353553,A
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,105185,24098.03,920,482,0.0013869526026478744,0.2964655814561834,A
20972,PINK CREAM FELT CRAFT TRINKET BOX,20064,23812.52,1224,568,0.0013705201873184059,0.2978361016435018,A
37503,TEA TIME CAKE STAND IN GIFT BOX,2384,23784.8,465,256,0.0013689247736623767,0.2992050264171642,A
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39259,23598.510000000002,1100,524,0.001358202926260441,0.3005632293434246,A
20971,PINK BLUE FELT CRAFT TRINKET BOX,20500,23554.3,1003,490,0.001355658437164732,0.30191888778058934,A
47590A,BLUE HAPPY BIRTHDAY BUNTING,4681,23531.47,633,355,0.0013543444655281108,0.30327323224611746,A
22697,GREEN REGENCY TEACUP AND SAUCER,8500,23507.24,933,475,0.0013529499174442152,0.3046261821635617,A
22866,HAND WARMER SCOTTY DOG DESIGN,11667,23436.660000000003,939,530,0.0013488877134094919,0.3059750698769712,A
22197,POPCORN HOLDER,30919,23417.51,632,295,0.001347785542719991,0.3073228554196912,A
84836,ZINC METAL HEART DECORATION,19328,23331.43,1244,662,0.001342831242304732,0.3086656866619959,A
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12532,23322.62,408,325,0.0013423241862329563,0.3100080108482289,A
22551,PLASTERS IN TIN SPACEBOY,14623,23194.949999999997,1156,616,0.0013349761897876013,0.3113429870380165,A
21485,RETROSPOT HEART HOT WATER BOTTLE,4895,23085.530000000002,815,502,0.0013286785648870712,0.31267166560290355,A
22507,MEMO BOARD RETROSPOT  DESIGN,5208,23083.44,737,445,0.0013285582757622115,0.3140002238786658,A
22084,PAPER CHAIN KIT EMPIRE,8437,23049.95,704,464,0.0013266307720342025,0.3153268546507,A
23173,REGENCY TEAPOT ROSES,2662,23033.52,354,248,0.0013256851498708346,0.31665253980057084,A
82583,HOT BATHS METAL SIGN,11797,23010.120000000003,820,323,0.0013243383721092516,0.3179768781726801,A
